fecha,confianza_consumidor,,,,
01/01/2000,44.6,,,,
01/02/2000,44.6,,,,
01/03/2000,44.6,,,,
01/04/2000,46.6,,,,
01/05/2000,45.2,,,,
01/06/2000,44.6,,,,
01/07/2000,46.9,,,,
01/08/2000,47.7,,,,
01/09/2000,44.6,,,,
01/10/2000,41.5,,,,
01/11/2000,41.6,,,,
01/12/2000,43.2,,,,
01/01/2001,44.6,,,,
01/02/2001,44.6,,,,
01/03/2001,44.6,,,,
01/04/2001,46.6,,,,
01/05/2001,45.2,,,,
01/06/2001,44.6,,,,
01/07/2001,46.9,,,,
01/08/2001,47.7,,,,
01/09/2001,44.6,,,,
01/10/2001,41.5,,,,
01/11/2001,41.6,,,,
01/12/2001,43.2,,,,
01/01/2002,36.9,,,,
01/02/2002,37.6,,,,
01/03/2002,39.8,,,,
01/04/2002,39.8,,,,
01/05/2002,41.6,,,,
01/06/2002,41.5,,,,
01/07/2002,42.2,,,,
01/08/2002,42.5,,,,
01/09/2002,42,,,,
01/10/2002,41,,,,
01/11/2002,42.1,,,,
01/12/2002,42.9,,,,
01/01/2003,40.9,,,,
01/02/2003,39.1,,,,
01/03/2003,37.9,,,,
01/04/2003,40,,,,
01/05/2003,41,,,,
01/06/2003,41.4,,,,
01/07/2003,41.4,,,,
01/08/2003,41.1,,,,
01/09/2003,40.1,,,,
01/10/2003,39.8,,,,
01/11/2003,39.2,,,,
01/12/2003,39.6,,,,
01/01/2004,39.6,,,,
01/02/2004,39.4,,,,
01/03/2004,39.6,,,,
01/04/2004,39.8,,,,
01/05/2004,41.1,,,,
01/06/2004,41.1,,,,
01/07/2004,39.8,,,,
01/08/2004,39.4,,,,
01/09/2004,40.1,,,,
01/10/2004,39.1,,,,
01/11/2004,39.2,,,,
01/12/2004,41.7,,,,
01/01/2005,42,,,,
01/02/2005,43.2,,,,
01/03/2005,42.9,,,,
01/04/2005,41.1,,,,
01/05/2005,40.7,,,,
01/06/2005,41.1,,,,
01/07/2005,41.1,,,,
01/08/2005,40.3,,,,
01/09/2005,41.7,,,,
01/10/2005,42,,,,
01/11/2005,42.1,,,,
01/12/2005,44.3,,,,
01/01/2006,43.9,,,,
01/02/2006,43.9,,,,
01/03/2006,45.6,,,,
01/04/2006,44.8,,,,
01/05/2006,44.7,,,,
01/06/2006,44.2,,,,
01/07/2006,44.9,,,,
01/08/2006,45,,,,
01/09/2006,45.1,,,,
01/10/2006,44.3,,,,
01/11/2006,43.2,,,,
01/12/2006,44.8,,,,
01/01/2007,42.7,,,,
01/02/2007,42.4,,,,
01/03/2007,43.6,,,,
01/04/2007,43.4,,,,
01/05/2007,43.8,,,,
01/06/2007,43.1,,,,
01/07/2007,43,,,,
01/08/2007,44,,,,
01/09/2007,43,,,,
01/10/2007,41.3,,,,
01/11/2007,40.9,,,,
01/12/2007,42.8,,,,
01/01/2008,42.2,,,,
01/02/2008,41.2,,,,
01/03/2008,41.9,,,,
01/04/2008,40.2,,,,
01/05/2008,38.9,,,,
01/06/2008,37.7,,,,
01/07/2008,36.7,,,,
01/08/2008,37.3,,,,
01/09/2008,36.7,,,,
01/10/2008,34.2,,,,
01/11/2008,34.9,,,,
01/12/2008,35,,,,
01/01/2009,34.4,,,,
01/02/2009,33.4,,,,
01/03/2009,33.5,,,,
01/04/2009,34.6,,,,
01/05/2009,33.2,,,,
01/06/2009,34.2,,,,
01/07/2009,36.1,,,,
01/08/2009,34.5,,,,
01/09/2009,34.5,,,,
01/10/2009,32.6,,,,
01/11/2009,33.2,,,,
01/12/2009,34,,,,
01/01/2010,34.8,,,,
01/02/2010,34.3,,,,
01/03/2010,34.7,,,,
01/04/2010,35,,,,
01/05/2010,35.6,,,,
01/06/2010,36.8,,,,
01/07/2010,36.9,,,,
01/08/2010,37.2,,,,
01/09/2010,38.3,,,,
01/10/2010,37.4,,,,
01/11/2010,37.2,,,,
01/12/2010,38.2,,,,
01/01/2011,38.5,,,,
01/02/2011,38.4,,,,
01/03/2011,38.3,,,,
01/04/2011,37.6,,,,
01/05/2011,37.4,,,,
01/06/2011,38.8,,,,
01/07/2011,39.8,,,,
01/08/2011,38.9,,,,
01/09/2011,38.5,,,,
01/10/2011,37.7,,,,
01/11/2011,37.4,,,,
01/12/2011,37.7,,,,
01/01/2012,39.4,,,,
01/02/2012,39,,,,
01/03/2012,38.9,,,,
01/04/2012,40.2,,,,
01/05/2012,39.7,,,,
01/06/2012,39.7,,,,
01/07/2012,41.1,,,,
01/08/2012,40.8,,,,
01/09/2012,39.4,,,,
01/10/2012,39.6,,,,
01/11/2012,39.1,,,,
01/12/2012,41.1,,,,
01/01/2013,41.6,,,,
01/02/2013,39.7,,,,
01/03/2013,39.9,,,,
01/04/2013,39.8,,,,
01/05/2013,39.4,,,,
01/06/2013,38.8,,,,
01/07/2013,40.7,,,,
01/08/2013,40.5,,,,
01/09/2013,39.2,,,,
01/10/2013,38.1,,,,
01/11/2013,36.9,,,,
01/12/2013,37.4,,,,
01/01/2014,35.6,,,,
01/02/2014,35.7,,,,
01/03/2014,37.1,,,,
01/04/2014,37.6,,,,
01/05/2014,37.8,,,,
01/06/2014,37.9,,,,
01/07/2014,37.6,,,,
01/08/2014,37.5,,,,
01/09/2014,38.2,,,,
01/10/2014,37.7,,,,
01/11/2014,38.5,,,,
01/12/2014,38.7,,,,
01/01/2015,38.1,,,,
01/02/2015,37.5,,,,
01/03/2015,38.5,,,,
01/04/2015,37.8,,,,
01/05/2015,38,,,,
01/06/2015,39.1,,,,
01/07/2015,38.1,,,,
01/08/2015,37.4,,,,
01/09/2015,37.4,,,,
01/10/2015,37.8,,,,
01/11/2015,38.2,,,,
01/12/2015,38.4,,,,
01/01/2016,38.2,,,,
01/02/2016,36.7,,,,
01/03/2016,36.8,,,,
01/04/2016,36.7,,,,
01/05/2016,37.5,,,,
01/06/2016,38.3,,,,
01/07/2016,36.5,,,,
01/08/2016,35.7,,,,
01/09/2016,34.8,,,,
01/10/2016,35,,,,
01/11/2016,34.9,,,,
01/12/2016,35.5,,,,
01/01/2017,28.7,,,,
01/02/2017,31.5,,,,
01/03/2017,33.8,,,,
01/04/2017,34.9,,,,
01/05/2017,35.9,,,,
01/06/2017,36,,,,
01/07/2017,36.5,,,,
01/08/2017,36.5,,,,
01/09/2017,36.8,,,,
01/10/2017,36.4,,,,
01/11/2017,36.7,,,,
01/12/2017,36.3,,,,
01/01/2018,34.8,,,,
01/02/2018,34.2,,,,
01/03/2018,34.3,,,,
01/04/2018,35.6,,,,
01/05/2018,36.6,,,,
01/06/2018,37.1,,,,
01/07/2018,43.3,,,,
01/08/2018,43,,,,
01/09/2018,42.1,,,,
01/10/2018,42.5,,,,
01/11/2018,41.7,,,,
01/12/2018,44.9,,,,
01/01/2019,45.9,,,,
01/02/2019,47.8,,,,
01/03/2019,46.3,,,,
01/04/2019,45.5,,,,
01/05/2019,44.3,,,,
01/06/2019,43.7,,,,
01/07/2019,43.3,,,,
01/08/2019,43.8,,,,
01/09/2019,45.3,,,,
01/10/2019,44.1,,,,
01/11/2019,43.8,,,,
01/12/2019,43.8,,,,
01/01/2020,44.1,,,,
01/02/2020,43.3,,,,
01/03/2020,42.1,,,,
01/04/2020,32.2,,,,
01/05/2020,31.1,,,,
01/06/2020,32,,,,
01/07/2020,34.4,,,,
01/08/2020,35.1,,,,
01/09/2020,36.3,,,,
01/10/2020,37.9,,,,
01/11/2020,37.1,,,,
01/12/2020,38.7,,,,
01/01/2021,39.2,,,,
01/02/2021,38.6,,,,
01/03/2021,40.6,,,,
01/04/2021,42.5,,,,
01/05/2021,42.4,,,,
01/06/2021,44.3,,,,
01/07/2021,44.3,,,,
01/08/2021,44.3,,,,
